ID,Possession Status,Availability Starts From,Floor No,Commercial,Developer,Approved Authority Name,Units Available,Price
12685,Under Construction,Dec '25,5,N,,KDMC,1.0,3150000.0
12684,Ready to Move,,20,Y,TATA Housing Development Company Ltd.,TMC,10.0,6300000.0
12683,Ready to Move,,18,N,Sai Satyam Developers,KDMC,0.0,5400000.0
12682,Under Construction,Dec '25,5,N,Birla Estates,KDMC,70.0,9000000.0
12681,Under Construction,Dec '24,8,Y,Godrej Properties,,,4950000.0
12680,Under Construction,Mar '23,16,N,Tycoons Group,ABAAut,2.0,6570000.0
12679,Ready to Move,,1,N,,KDMC,4.0,5500000.0
12678,Ready to Move,,4,N,,TMC,1.0,4200000.0
12677,Under Construction,Dec '25,16,N,Godrej Properties,ABAAut,15.0,3449000.0
12676,Ready to Move,,5,N,,,,5000000.0
12675,Under Construction,Dec '24,10,N,,KDMC,25.0,2990000.0
12674,Under Construction,Dec '24,10,N,,KDMC,25.0,4190000.0
12673,Ready to Move,,9,Y,Tharwani Infrastructures,,,4900000.0
12672,Ready to Move,,2,N,,ABAMNC,1.0,2187500.0
12671,Ready to Move,,16,N,Gurukrupa Group,,0.0,4700000.0
12670,Under Construction,Jan '26,9,N,,ABADev,10.0,10450000.0
12669,Under Construction,Nov '25,18,N,,KDMC,,12000000.0
12668,Under Construction,Mar '23,9,N,Gurukrupa Group,KDMC,3.0,7000000.0
12667,Under Construction,Dec '23,9,N,Rutu Group,KDMC,7.0,7000000.0
12666,Ready to Move,,4,N,Ajmera Realty & Infra India Ltd.,KDMC,1.0,4800000.0
12665,Under Construction,Aug '25,20,N,Birla Estates,KDMC,50.0,9500000.0
12664,Under Construction,Dec '24,18,N,Ajmera Realty & Infra India Ltd.,KDMC,10.0,7499000.0
12663,Ready to Move,Dec '22,5,N,Ajmera Realty & Infra India Ltd.,KDMC,2.0,4500000.0
12662,Under Construction,Jun '25,18,N,Godrej Properties,TMC,23.0,4300000.0
12661,Under Construction,Jan '24,11,N,Tycoons Group,ABADev,,3950000.0
12660,Ready to Move,Jan '23,21,N,Raunak Group,KDMC,,3600000.0
12659,Ready to Move,,5,N,Vaishnavi Developers,ABAMNC,,3580000.0
12658,Under Construction,Dec '24,7,N,,ABAMNC,2.0,14796000.0
12657,Under Construction,Dec '25,3,Y,,KDMC,12.0,4300000.0
12656,Under Construction,Mar '26,10,N,,KDMC,12.0,4185500.0
12655,Under Construction,Mar '23,16,N,Tycoons Group,ABAAut,2.0,6570000.0
12654,Ready to Move,,1,N,,KDMC,4.0,5500000.0
12653,Ready to Move,,4,N,,TMC,1.0,4200000.0
12652,Under Construction,Dec '25,16,N,Godrej Properties,ABAAut,15.0,3449000.0
12651,Ready to Move,,5,N,,,,5000000.0
12650,Under Construction,Dec '24,10,N,,KDMC,25.0,2990000.0
12649,Under Construction,Dec '24,10,N,,KDMC,25.0,4190000.0
12648,Ready to Move,,9,Y,Tharwani Infrastructures,,,4900000.0
12647,Ready to Move,,2,N,,ABAMNC,1.0,2187500.0
12646,Ready to Move,,16,N,Gurukrupa Group,,0.0,4700000.0
12645,Under Construction,Jan '26,9,N,,ABADev,10.0,10450000.0
12644,Under Construction,Nov '25,18,N,,KDMC,,12000000.0
12643,Under Construction,Mar '23,9,N,Gurukrupa Group,KDMC,3.0,7000000.0
12642,Under Construction,Dec '23,9,N,Rutu Group,KDMC,7.0,7000000.0
12641,Ready to Move,,4,N,Ajmera Realty & Infra India Ltd.,KDMC,1.0,4800000.0
12640,Under Construction,Aug '25,20,N,Birla Estates,KDMC,50.0,9500000.0
12639,Under Construction,Dec '24,18,N,Ajmera Realty & Infra India Ltd.,KDMC,10.0,7499000.0
12638,Ready to Move,Dec '22,5,N,Ajmera Realty & Infra India Ltd.,KDMC,2.0,4500000.0
12637,Under Construction,Jun '25,18,N,Godrej Properties,TMC,23.0,4300000.0
12636,Under Construction,Jan '24,11,N,Tycoons Group,ABADev,,3950000.0
12635,Ready to Move,Jan '23,21,N,Raunak Group,KDMC,,3600000.0
12634,Ready to Move,,5,N,Vaishnavi Developers,ABAMNC,,3580000.0
12633,Under Construction,Dec '24,7,N,,ABAMNC,2.0,14796000.0
12632,Under Construction,Dec '25,3,Y,,KDMC,12.0,4300000.0
12631,Under Construction,Mar '26,10,N,,KDMC,12.0,4185500.0
12630,Ready to Move,,3,N,,,,2400000.0
12629,Ready to Move,,3,N,,,,2000000.0
12628,Ready to Move,,,N,,,,2500000.0
12627,Under Construction,,1,N,Mutha Construction,,,4000000.0
12626,Ready to Move,,12,N,Ajmera Realty & Infra India Ltd.,,,5000000.0
12625,Under Construction,,9,N,Godrej Properties,,,9500000.0
12624,Ready to Move,,7,N,Madhav Constructions,,,6000000.0
12623,Ready to Move,,4,N,Raunak Group,,,4000000.0
12622,Ready to Move,,2,N,Shree Vasturachna Developers,,,3400000.0
12621,Ready to Move,,6,N,,KDMC,0.0,4300000.0
12620,Ready to Move,,12,N,Osho Dhara Developers,,,7000000.0
12619,Ready to Move,,2,N,Kashish Park Realtors,,,3500000.0
12618,Under Construction,,4,N,Mahavir Builders,,,3000000.0
12617,Ready to Move,,1,N,Saisatyam Group,,,4100000.0
12616,Under Construction,,20,N,Mutha Construction,,,9000000.0
12615,Under Construction,Jun '23,11,N,Godrej Properties,,,8200000.0
12614,Ready to Move,,5,N,Mehta Group,,,4500000.0
12613,Ready to Move,,4,N,M S Developers,,,5600000.0
12612,Ready to Move,,2,N,Haware Engineers & Builders Pvt Ltd,,,2800000.0
12611,Ready to Move,,21,N,Raunak Group,,,3500000.0
12610,Ready to Move,,11,N,Gurukrupa Group,,,7000000.0
12609,Ready to Move,,8,N,Charms Group,,,3900000.0
12608,Ready to Move,,7,N,Mehta Group,,,4500000.0
12607,Ready to Move,,7,N,Honest Developers,,,5500000.0
12606,Ready to Move,,7,N,,,,6000000.0
12605,Ready to Move,,9,N,Honest Developers,,,3500000.0
12604,Ready to Move,,3,N,,,,7000000.0
12603,Ready to Move,,4,N,Kashish Park Realtors,,,7800000.0
12602,Ready to Move,,3,N,Haware Engineers & Builders Pvt Ltd,,,3500000.0
12601,Ready to Move,,7,N,M. S. Developers,,,3700000.0
12600,Ready to Move,,1,N,Haware Engineers & Builders Pvt Ltd,,,3200000.0
12599,Under Construction,Jul '25,,Y,Tycoons Group,,,4499000.0
12598,Ready to Move,,1,N,Raunak Group,,,4300000.0
12597,Ready to Move,,1,N,Nirmal Lifestyle Ltd.,,,3451500.0
12596,Ready to Move,,5,Y,Raunak Group,,,4050000.0
12595,Ready to Move,,17,Y,,ABAMNC,0.0,7400000.0
12594,Ready to Move,,1,Y,,KDMC,0.0,4800000.0
12593,Under Construction,Jun '24,15,Y,Godrej Properties,TMC,,4700000.0
12592,Ready to Move,,3,Y,TATA Housing Development Company Ltd.,KDMC,2.0,7999992.0
12591,Ready to Move,,4,N,,KDMC,,4700000.0
12590,Ready to Move,,7,N,Virat Group,,,3200000.0
12589,Ready to Move,,1,N,,,,1700000.0
12588,Ready to Move,,5,N,,,,25200000.0
12587,Ready to Move,,Ground,N,,,,9500000.0
12586,Ready to Move,,5,N,Madhav Constructions,KDMC,0.0,4200000.0
12585,Ready to Move,,1,N,,,,4200000.0
12584,Ready to Move,,1,N,Shankheshwar Group of Companies,,,4000000.0
12583,Ready to Move,,7,N,,,,8000000.0
12582,Ready to Move,,14,N,,,,10000000.0
12581,Ready to Move,,5,N,,,,11000000.0
12580,Ready to Move,,7,N,,,,6000000.0
12579,Ready to Move,,1,N,,KDMC,0.0,5500000.0
12578,Under Construction,,3,N,Godrej Properties,,,8200000.0
12577,Ready to Move,,2,N,,,,2600000.0
12576,Ready to Move,,1,N,,KDMC,0.0,7200000.0
12575,Ready to Move,,15,N,,,,8500000.0
12574,Ready to Move,,2,N,,,,7300000.0
12573,Ready to Move,,16,N,,,,11000000.0
12572,Ready to Move,,,N,,,,15000000.0
12571,Ready to Move,,18,N,,,,5600000.0
12570,Ready to Move,,2,N,,,,7200000.0
12569,Ready to Move,,3,N,,,,4000000.0
12568,Ready to Move,,15,N,Raunak Group,,,3700000.0
12567,Ready to Move,,4,N,Raunak Group,,,3500000.0
12566,Ready to Move,,20,N,,,,4350000.0
12565,Ready to Move,,4,N,Shree Vasturachna Developers,,,2400000.0
12564,Ready to Move,,3,N,Konkanbhoomi Developers,,,4000000.0
12563,Ready to Move,,3,N,,,,6300000.0
12562,Ready to Move,,12,N,Charms Group,,,7500000.0
12561,Ready to Move,,6,N,Vidhi Developers,,,3300000.0
12560,Under Construction,Apr '23,3,N,Godrej Properties,,1.0,6800000.0
12559,Ready to Move,,8,N,TATA Housing Development Company Ltd.,,,5500000.0
12558,Ready to Move,,4,N,Tharwani Infrastructures,,,5500000.0
12557,Ready to Move,,Ground,N,Shree Vasturachna Developers,,,2700000.0
12556,Ready to Move,,1,N,Haware Engineers & Builders Pvt Ltd,,,4500000.0
12555,Ready to Move,,1,N,Royce Developers,KDMC,,4500000.0
12554,Under Construction,Mar '23,5,N,Godrej Properties,ABAMNC,1.0,7500000.0
12553,Ready to Move,,9,N,Raunak Group,,,3800000.0
12552,Ready to Move,,3,N,Shree Samarth Developers,,,6500000.0
12551,Ready to Move,,1,N,Haware Engineers & Builders Pvt Ltd,,,2700000.0
12550,Ready to Move,,18,N,,ABAMNC,0.0,6500000.0
12549,Ready to Move,,6,N,Raunak Group,,,3400000.0
12548,Ready to Move,,6,N,OSSK CORP,ABAMNC,,6900000.0
12547,Ready to Move,,2,N,TATA Housing Development Company Ltd.,,,6300000.0
12546,Ready to Move,,4,N,Haware Engineers & Builders Pvt Ltd,RCUDA,1.0,2000000.0
12545,Ready to Move,,15,N,,KDMC,0.0,13000000.0
12544,Ready to Move,Jan '23,4,N,,,,2853100.0
12543,Ready to Move,,5,N,Raunak Group,,,3450000.0
12542,Under Construction,Mar '24,5,N,Mahindra Lifespace Developers Ltd.,TMC,1.0,3500000.0
12541,Ready to Move,,6,N,Royal Builders and Developers,,,20000000.0
12540,Ready to Move,,9,N,TATA Housing Development Company Ltd.,ABAMNC,0.0,7500000.0
12539,Ready to Move,,Ground,N,,,,5000000.0
12538,Ready to Move,,6,N,,,,6500000.0
12537,Ready to Move,,6,N,Raunak Group,,,4000000.0
12536,Ready to Move,,7,N,,,,4800000.0
12535,Ready to Move,,7,N,,,,4700000.0
12534,Ready to Move,,4,N,Haware Engineers & Builders Pvt Ltd,,,3600000.0
12533,Ready to Move,,1,N,Mahavir Builders,,,5999999.0
12532,Ready to Move,,5,N,,,,12500000.0
12531,Ready to Move,,15,N,Kohinoor Group,ABAMNC,1.0,5499000.0
12530,Ready to Move,,1,N,Haware Engineers & Builders Pvt Ltd,ABAAut,1.0,5000000.0
12529,Ready to Move,,6,N,Aashapura Builders and Developers,,,5200000.0
12528,Ready to Move,,1,N,Innovative Buildcon,,,13500000.0
12527,Ready to Move,,2,N,,,,8500000.0
12526,Ready to Move,,2,N,Realty Builders,KDMC,1.0,6000000.0
12525,Ready to Move,,2,N,Rutu Group,KDMC,,7800000.0
12524,Ready to Move,,13,N,TATA Housing Development Company Ltd.,,1.0,5500000.0
12523,Under Construction,Apr '23,5,Y,Honest Developers,ABAAut,45.0,3500000.0
12522,Under Construction,Dec '25,10,N,Tycoons Group,KDMC,79.0,3900000.0
12521,Under Construction,Mar '25,19,N,,KDMC,20.0,3673500.0
12520,Under Construction,Dec '24,9,Y,Godrej Properties,,,8820000.0
12519,Under Construction,Mar '23,27,N,Tycoons Group,ABAAut,3.0,4569000.0
12518,Ready to Move,,16,N,Raunak Group,KDMC,2.0,3750000.0
12517,Ready to Move,,5,N,,KDMC,0.0,5800000.0
12516,Ready to Move,,2,N,,KDMC,0.0,4600000.0
12515,Under Construction,Dec '25,15,N,Godrej Properties,ABAAut,20.0,5249000.0
